units_sold,price_per_unit,discount_percent,advertising_spend,revenue
100.0,681.83,27.3,29468.6,49569.04
29.0,355.9,21.0,27155.09,8153.67
92.0,244.61,22.7,39769.16,17395.68
46.0,55.82,20.2,17508.12,2049.04
97.0,414.25,23.4,14232.77,30779.6
50.0,219.76,5.6,17889.59,10372.67
89.0,735.22,6.2,3938.61,61377.64
70.0,870.28,19.9,47223.61,48796.6
7.0,527.78,20.4,5523.12,2940.79
11.0,574.06,13.7,2546.82,5449.55
25.0,86.33,22.7,23616.56,1668.33
30.0,825.19,7.7,37943.19,22849.51
72.0,229.5,13.9,16395.81,14227.16
52.0,476.66,26.7,21747.95,18168.37
55.0,509.37,15.9,9059.52,23560.91
3.0,570.24,24.5,24846.28,1291.59
89.0,305.13,4.6,23456.88,25907.37
27.0,541.99,24.6,35170.56,11033.83
86.0,675.23,5.2,10703.44,55050.15
21.0,478.9,26.9,4739.06,7351.59
84.0,658.41,17.6,27311.38,45572.51
57.0,994.0,3.4,26232.02,54731.63
22.0,717.29,27.4,44718.99,11456.56
52.0,131.61,24.1,32537.31,5194.38
70.0,237.87,17.5,34710.33,13736.99
67.0,860.14,21.4,32264.82,45296.69
65.0,761.81,13.3,24400.46,42931.8
53.0,926.01,28.2,38858.71,35238.38
42.0,930.75,23.7,28379.52,29826.81
63.0,663.92,1.8,6362.18,41074.07
89.0,105.11,7.9,45228.49,8615.76
46.0,422.54,28.6,3622.51,13877.9
3.0,705.11,23.1,44110.05,1626.69
98.0,937.32,13.9,21621.55,79089.19
70.0,671.8,2.6,35783.33,45803.32
72.0,951.57,19.4,39419.9,55221.51
10.0,234.69,11.8,10053.92,2069.97
3.0,936.27,3.8,47088.52,2702.08
73.0,841.12,22.5,5827.8,47586.36
52.0,594.48,24.8,31291.0,23246.55
40.0,899.74,13.8,14270.13,31023.04
55.0,252.36,29.2,29619.11,9826.9
74.0,369.88,29.3,4243.73,19351.38
64.0,861.25,17.5,23201.35,45474.0
100.0,495.84,28.0,18816.28,35700.48
47.0,929.4,19.0,20347.71,35382.26
39.0,463.84,3.1,17112.66,17528.98
52.0,876.16,27.2,15717.57,33167.91
74.0,990.43,13.4,27911.97,63470.72
38.0,197.54,6.3,4069.69,7033.61
96.0,102.48,5.4,31461.2,9306.82
83.0,256.13,20.7,41845.97,16858.22
74.0,455.16,25.3,19753.95,25160.33
73.0,675.85,10.1,14384.83,44354.01
49.0,632.47,28.2,10294.09,22251.56
95.0,243.01,16.3,28880.94,19322.94
48.0,263.05,19.2,2984.04,10202.13
98.0,231.04,20.4,11878.87,18022.97
77.0,507.25,29.2,43440.55,27653.24
59.0,899.87,26.1,10332.07,39235.23
25.0,192.18,10.7,32332.03,4290.42
3.0,138.56,8.2,49303.83,381.59
5.0,852.25,11.1,23986.57,3788.25
