units_sold,price_per_unit,discount_percent,advertising_spend,revenue,gross_sales,discount_amount
100.0,681.83,27.3,29468.6,49569.04,68183.0,18613.959000000003
29.0,355.9,21.0,27155.09,8153.67,10321.099999999999,2167.4309999999996
92.0,244.61,22.7,39769.16,17395.68,22504.120000000003,5108.435240000001
46.0,55.82,20.2,17508.12,2049.04,2567.72,518.67944
97.0,414.25,23.4,14232.77,30779.6,40182.25,9402.646499999999
50.0,219.76,5.6,17889.59,10372.67,10988.0,615.328
89.0,735.22,6.2,3938.61,61377.64,65434.58,4056.94396
70.0,870.28,19.9,47223.61,48796.6,60919.6,12123.000399999997
7.0,527.78,20.4,5523.12,2940.79,3694.46,753.66984
11.0,574.06,13.7,2546.82,5449.55,6314.66,865.1084199999999
25.0,86.33,22.7,23616.56,1668.33,2158.25,489.92275
30.0,825.19,7.7,37943.19,22849.51,24755.7,1906.1889
72.0,229.5,13.9,16395.81,14227.16,16524.0,2296.8360000000002
52.0,476.66,26.7,21747.95,18168.37,24786.32,6617.94744
55.0,509.37,15.9,9059.52,23560.91,28015.35,4454.4406500000005
3.0,570.24,24.5,24846.28,1291.59,1710.72,419.1264
89.0,305.13,4.6,23456.88,25907.37,27156.57,1249.20222
27.0,541.99,24.6,35170.56,11033.83,14633.73,3599.8975800000003
86.0,675.23,5.2,10703.44,55050.15,58069.78,3019.62856
21.0,478.9,26.9,4739.06,7351.59,10056.9,2705.3061
84.0,658.41,17.6,27311.38,45572.51,55306.439999999995,9733.93344
57.0,994.0,3.4,26232.02,54731.63,56658.0,1926.3719999999998
22.0,717.29,27.4,44718.99,11456.56,15780.38,4323.824119999999
52.0,131.61,24.1,32537.31,5194.38,6843.720000000001,1649.3365200000003
70.0,237.87,17.5,34710.33,13736.99,16650.9,2913.9075
67.0,860.14,21.4,32264.82,45296.69,57629.38,12332.687319999999
65.0,761.81,13.3,24400.46,42931.8,49517.649999999994,6585.84745
53.0,926.01,28.2,38858.71,35238.38,49078.53,13840.145459999998
